POINT (-74.00666930351623 40.73296593623894),302681,10/09/2015 12:00:00 AM +0000,101875,8,0,OnCurb,Alive,Good,Fraxinus,Ash,1or2,Harmful,NoDamage,NYC Parks Staff,No,No,No,No,No,No,No,No,No,131 CHRISTOPHER STREET,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1006900,New York,40.7329659362,-74.0066693035,982401.644433,206315.906316,
POINT (-74.00144332349724 40.73487366644049),13596,06/08/2015 12:00:00 AM +0000,102005,8,0,OnCurb,Alive,Poor,Fraxinus pennsylvanica,Green Ash,1or2,Helpful,NoDamage,Volunteer,No,No,No,No,No,No,No,No,No,193 WAVERLY PLACE,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1007100,New York,40.7348736664,-74.0014433235,983850.003413,207010.885241,
POINT (-74.00061528194871 40.7352243784321),13560,06/08/2015 12:00:00 AM +0000,102006,8,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,Green Ash,3or4,Harmful,NoDamage,Volunteer,No,No,Yes,No,No,Yes,No,No,No,2 CHARLES STREET,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1007100,New York,40.7352243784,-74.0006152819,984079.484253,207138.657951,
POINT (-74.00053312694307 40.735236608638814),13559,06/08/2015 12:00:00 AM +0000,102006,10,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,Green Ash,3or4,Harmful,NoDamage,Volunteer,No,No,Yes,No,No,Yes,No,No,No,2 CHARLES STREET,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1007100,New York,40.7352366086,-74.0005331269,984102.252252,207143.113651,
POINT (-74.00091920420134 40.73524905032215),192500,08/31/2015 12:00:00 AM +0000,102040,8,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,Green Ash,1or2,Helpful,Damage,Volunteer,No,No,No,No,No,No,No,No,No,7 CHARLES STREET,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1007100,New York,40.7352490503,-74.0009192042,983995.257059,207147.647434,
POINT (-73.99779474046527 40.73620602951283),194479,09/01/2015 12:00:00 AM +0000,102115,6,0,OnCurb,Alive,Fair,Fraxinus pennsylvanica,Green Ash,1or2,Harmful,NoDamage,Volunteer,No,No,No,No,No,No,No,No,Yes,487 AVENUE OF THE AMERICAS,10011,New York,102,1,Manhattan,3,66,27,MN23,West Village,1007100,New York,40.7362060295,-73.9977947405,984861.144107,207496.311435,
POINT (-73.999311868916 40.73743165478742),123894,08/06/2015 12:00:00 AM +0000,102112,12,0,OnCurb,Alive,Fair,Fraxinus pennsylvanica,Green Ash,1or2,Helpful,Damage,Volunteer,No,No,No,No,No,No,No,No,No,146 WEST  13 STREET,10011,New York,102,1,Manhattan,3,66,27,MN23,West Village,1007100,New York,40.7374316548,-73.9993118689,984440.698426,207942.838429,
POINT (-74.00542660916268 40.732277911503864),293922,10/07/2015 12:00:00 AM +0000,101795,8,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,Green Ash,3or4,Helpful,Damage,Volunteer,Yes,No,No,No,No,No,No,No,No,99 BEDFORD STREET,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1007300,New York,40.7322779115,-74.0054266092,982746.033836,206065.213575,
POINT (-74.00579664496394 40.73239621214544),294225,10/07/2015 12:00:00 AM +0000,101829,7,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,Green Ash,1or2,Helpful,NoDamage,Volunteer,No,No,No,No,No,No,No,No,No,10 GROVE STREET,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1007300,New York,40.7323962121,-74.005796645,982643.482532,206108.320773,
POINT (-74.00530473304089 40.73243882449153),262319,09/26/2015 12:00:00 AM +0000,101814,9,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,Green Ash,3or4,Helpful,NoDamage,Volunteer,No,No,No,No,No,No,No,No,No,20 GROVE STREET,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1007300,New York,40.7324388245,-74.005304733,982779.814936,206123.837146,
